"","AAPL.Close"
"294",136.720001220703
"295",138.929992675781
"296",141.559997558594
"297",142.919998168945
"298",146.350006103516
"299",147.039993286133
"300",144.869995117188
"301",145.860000610352
"302",145.490005493164
"303",148.470001220703
"304",150.169998168945
"305",147.070007324219
"306",151
"307",153.039993286133
"308",155.350006103516
"309",154.089996337891
"310",152.949996948242
"311",151.600006103516
"312",156.789993286133
"313",157.350006103516
"314",162.509994506836
"315",161.509994506836
"316",160.009994506836
"317",166.130004882812
"318",165.809997558594
"319",165.350006103516
"320",164.869995117188
"321",164.919998168945
"322",169.240005493164
"323",168.490005493164
"324",172.100006103516
"325",173.190002441406
"326",173.029998779297
"327",174.550003051758
"328",174.149993896484
"329",171.520004272461
"330",167.570007324219
"331",167.229995727539
"332",167.529998779297
"333",170.029998779297
"334",163.619995117188
"335",161.380004882812
"336",158.910003662109
"337",157.220001220703
"338",157.960006713867
"339",155.809997558594
"340",154.529998779297
"341",155.960006713867
"342",154.460006713867
"343",157.369995117188
"344",163.429992675781
"345",153.839996337891
"346",155.309997558594
"347",152.369995117188
"348",150.699996948242
"349",154.479995727539
"350",156.899993896484
"351",153.720001220703
"352",152.740005493164
"353",150.429992675781
"354",150.770004272461
"355",151.759994506836
"356",149.839996337891
"357",142.479995727539
"358",138.199996948242
"359",142.449996948242
"360",146.100006103516
"361",146.399993896484
"362",145.429992675781
"363",140.089996337891
"364",140.419998168945
"365",138.979995727539
"366",138.339996337891
"367",142.990005493164
"368",138.380004882812
"369",142.410003662109
"370",143.75
"371",143.860000610352
"372",143.389999389648
"373",147.270004272461
"374",149.449996948242
"375",152.339996337891
"376",149.350006103516
"377",144.800003051758
"378",155.740005493164
"379",153.339996337891
"380",150.649993896484
"381",145.029998779297
"382",138.880004882812
"383",138.380004882812
"384",138.919998168945
"385",139.5
"386",134.869995117188
"387",146.869995117188
"388",149.699996948242
"389",148.279998779297
"390",150.039993286133
"391",148.789993286133
"392",150.720001220703
"393",151.289993286133
"394",148.009994506836
"395",150.179992675781
"396",151.070007324219
"397",148.110000610352
"398",144.220001220703
"399",141.169998168945
"400",148.029998779297
"401",148.309997558594
"402",147.809997558594
"403",146.630004882812
"404",142.910003662109
"405",140.940002441406
"406",142.649993896484
"407",142.160003662109
"408",144.490005493164
"409",145.470001220703
"410",143.210006713867
"411",136.5
"412",134.509994506836
"413",132.369995117188
"414",132.300003051758
"415",135.449996948242
"416",132.229995727539
"417",131.860000610352
"418",130.029998779297
"419",126.040000915527
"420",129.610000610352
"421",129.929992675781
"422",125.069999694824
"423",126.360000610352
"424",125.019996643066
"425",129.619995117188
"426",130.149993896484
"427",130.729995727539
"428",133.490005493164
"429",133.410003662109
"430",134.759994506836
"431",135.940002441406
"432",135.210006713867
"433",135.270004272461
"434",137.869995117188
"435",141.110000610352
"436",142.529998779297
"437",141.860000610352
"438",143.960006713867
"439",145.929992675781
"440",143
"441",144.289993286133
"442",145.429992675781
"443",150.820007324219
"444",154.5
"445",151.729995727539
"446",154.649993896484
"447",151.919998168945
"448",150.869995117188
"449",151.009994506836
"450",153.850006103516
"451",153.199996948242
"452",155.330001831055
"453",153.710006713867
"454",152.550003051758
"455",148.479995727539
"456",148.910003662109
"457",149.399993896484
"458",146.710006713867
"459",147.919998168945
"460",147.410003662109
"461",145.309997558594
"462",145.910003662109
"463",151.029998779297
"464",153.830001831055
"465",151.600006103516
"466",152.869995117188
"467",150.589996337891
"468",148.5
"469",150.470001220703
"470",152.589996337891
"471",152.990005493164
"472",155.850006103516
"473",155
"474",157.399993896484
"475",159.279998779297
"476",157.830001831055
"477",158.929992675781
"478",160.25
"479",158.279998779297
"480",157.649993896484
"481",160.770004272461
"482",162.360000610352
"483",164.899993896484
"484",166.169998168945
"485",165.630004882812
"486",163.759994506836
"487",164.660003662109
"488",162.029998779297
"489",160.800003051758
"490",160.100006103516
"491",165.559997558594
"492",165.210006713867
"493",165.229995727539
"494",166.470001220703
"495",167.630004882812
"496",166.649993896484
"497",165.020004272461
"498",165.330001831055
"499",163.770004272461
"500",163.759994506836
"501",168.410003662109
"502",169.679992675781
